English,French
7/93 of 1 March 1993.,7/93 du 1er mars 1993.
6 Declaration of rectification no.,6 Déclaration de rectification no.
9/2001 of 13 March 2001 republished Law no.,9/2001 du 13 mars 2001 Loi republiée n°
3/2001 of 23 February,3/2001 du 23 février
2001 in its entirety.,2001 dans son intégralité.
7 Article 2 of Law no.,7 Article 2 de la loi n°
44/2006 of 25 August 2006 states that: the present Law shall enter into force on,"le 25 août 2006, la loi 44/2006 stipule que : la présente loi entrera en vigueur le"
The first day of the next legislature (i.e. the first day of the 11th legislature).,Le premier jour de la prochaine législature (c'est-à-dire le premier jour de la 11e législature).
8 Article 2 of Law no.,8 de l'article 2 de la loi nº
45/2006 of 25 August 2006 states that: the present Law shall enter into force on the,25th of August 2006.
First day of the next legislature (i.e. the first day of the 11th legislature).,Premier jour de la prochaine législature (c'est-à-dire le premier jour de la 11e législature).
9 Article 5 of Law no.,9 Article 5 de la Loi n°.
43/2007 of 24 August 2007 states that: without prejudice to the provisions of,la loi 43/2007 du 24 août 2007 stipule que : sans préjudice des dispositions de
Article 2 of Law no.,L'article 2 de la Loi no.
44/2006 and of Article 2 of Law no.,44/2006 et de l'article 2 de la loi n°.
"45/2006, both of 25 August 2006, the present Law","45/2006, les deux du 25 août 2006, la présente loi"
Shall enter into force on the first day of the 3rd Legislative Session of the 10th legislature (15 September,Sera en vigueur le premier jour de la 3ème session législative de la 10ème législature (15 septembre).
2007).,2007).
10 Article 4 of Law no.,10 Article 4 de la loi n°
44/2019 of 21 June 2019 states that: the present law shall enter into force on the,21st of June 2019.
"Day following its publication, taking effect at the beginning of the 14th legislature in parallel with its regulatory resolution.","Jour suivant sa publication, entrant en vigueur au début de la 14e législature en parallèle avec sa résolution réglementaire."
"2 Article 1 nature and scope of mandate 1 – Members of the Assembly of the Republic represent the whole country, and not the constituencies for which they are elected.","Article 1 nature et portée du mandat 1 - Les membres de l'Assemblée de la République représentent l'ensemble du pays, et non les circonscriptions pour lesquelles ils sont élus."
"2 – Members of the Assembly of the Republic all possess the same status and all enjoy and are subject to the same rights and duties, without prejudice to specific conditions applicable to the","2 - Les membres de l'Assemblée de la République ont tous le même statut et jouissent tous des mêmes droits et devoirs, sans préjudice des conditions spécifiques applicables aux"
Exercise and fulfilment thereof and the regime governing the different parliamentary functions,Exercice et accomplissement de celui-ci et le régime régissant les différentes fonctions parlementaires
"They perform, as laid down by law.","Ils exécutent, tel que prescrit par la loi."
Article 2 beginning and end of term of office,Article 2 début et fin du mandat
"1 – The term of office of Members of the Assembly of the Republic begins upon the first sitting of the Assembly following elections thereto and ends upon the first sitting following the subsequent elections thereto, without prejudice to the suspension or termination of any","1 - Le mandat des membres de l'Assemblée de la République commence lors de la première séance de l'Assemblée suivant les élections et se termine lors de la première séance suivant les élections suivantes, sans préjudice de la suspension ou de la résiliation de toute"
Individual term of office.,Mandat individuel.
2 – The filling of vacancies which arise in the Assembly of the Republic shall be regulated by electoral law.,2 - Le remplissage des postes vacants qui se produisent à l'Assemblée de la République sera réglementé par la loi électorale.
Article 3 verification of credentials,Vérification des références de l'article 3
"The Assembly of the Republic shall verify Members' credentials, in accordance with the respective Rules of Procedure.","L'Assemblée de la République vérifiera les pouvoirs des députés, conformément aux règles de procédure respectives."
Article 4,Article 4
Suspension of term of office,Suspension du mandat en cours
1 – The following shall cause a term of office to be suspended:,1 - Ce qui suit entraînera la suspension d'un mandat :
A) Approval of a request for temporary substitution when there are important grounds,Approbation d'une demande de substitution temporaire en cas de motifs importants
"For it, in accordance with Article 5;","Pour cela, conformément à l'article 5;"
"B) Criminal proceedings, as laid down in Article 11 (3);","Procédures pénales, telles que prévues à l'article 11 (3);"
"C) occurrence of the situations referred to in Article 20 (1) (a), except for the President of","C) survenance des situations visées à l'article 20 (1) (a), à l'exception du Président de"
"The Republic, and in Article 20 (1) (d), (e), (f), (g), (h) and (l).","La République, et à l'article 20 (1) (d), (e), (f), (g), (h) et (l)."
"2 – In the cases provided for in Article 20 (1) (g), the suspension of the term of office set out in","l'article 20 (1) (g), la suspension du mandat prévu"
"The previous paragraph is only admissible immediately after the verification of credentials by the Assembly of the Republic, or at the moment at which the Member is installed in the","Le paragraphe précédent n'est admissible qu'après vérification des titres par l'Assemblée de la République, ou au moment où le membre est installé dans le"
"Respective local authority position, and may not occur for more than a single period of up to","Position respective de l'autorité locale, et ne peut pas se produire pour plus d'une seule période allant jusqu'à"
180 days.,180 jours.
Article 5 temporary substitution on important grounds,Article 5 substitution temporaire pour des motifs importants
"1 – When there are important grounds for doing so, Members of the Assembly of the Republic may ask the President of the Assembly to substitute them once or more than once during the course of the legislature.","1 - Lorsqu'il existe des raisons importantes de le faire, les membres de l'Assemblée de la République peuvent demander au président de l'Assemblée de les remplacer une ou plusieurs fois au cours de la législature."
2 – Important grounds shall mean: a) Serious illness that involves being unable to exercise the functions of Member of the,2 - Les motifs importants signifient: a) Une maladie grave qui empêche d'exercer les fonctions de membre du
Assembly of the Republic for a period of not less than thirty and not more than one,Assemblée de la République pour une période de trente jours au moins et d'un an au plus
Hundred and eighty days; b) The taking of maternity or paternity leave;,Cent quatre-vingts jours; b) La prise de congé de maternité ou de paternité;
"3 C) The need to ensure the furtherance of proceedings, in accordance with Article 11 (3).","3 C) La nécessité de garantir la poursuite des procédures, conformément à l'article 11 (3)."
"3 – The request for substitution shall be submitted either directly by the Member of the assembly of the Republic himself, or via the leadership of his parliamentary group, in which case it shall be accompanied by a declaration of consent by the Member who is to be substituted.","3 - La demande de substitution doit être soumise soit directement par le membre de l'assemblée de la République lui-même, soit par l'intermédiaire de la direction de son groupe parlementaire, auquel cas elle doit être accompagnée d'une déclaration de consentement du membre qui doit être remplacé."
"4 – When based on the grounds set out in paragraph (2) (a) or (b), the temporary substitution of a Member of the Assembly of the Republic shall not cause the processing of his remuneration to cease or any loss of length of service.","4 - Lorsqu'elle est fondée sur les motifs énoncés au paragraphe (2) (a) ou (b), la substitution temporaire d'un membre de l'Assemblée de la République n'entraînera pas l'interruption du traitement de sa rémunération ou de la perte d'ancienneté."
Article 6,Article 6
End of suspension,Fin de suspension
1 – The suspension of a term of office shall cease:,1 - La suspension d'un mandat prendra fin:
"A) In the case of Article 4 (1) (a), upon the end of the period of substitution, or upon the","A) Dans le cas de l'article 4 (1) (a), à la fin de la période de substitution, ou à la"
Member of the Assembly of the Republic's early return as directly notified to the,"Membre de l'Assemblée de la République, le retour anticipé est directement notifié au"
President of the Assembly by the Member or the leadership of the parliamentary group to which he belongs;,Président de l'Assemblée par le membre ou le leadership du groupe parlementaire auquel il appartient;
"B) In the case of Article 4 (1) (b), upon the issue of a judicial decision absolving the","B) Dans le cas de l'article 4 (1) (b), après l'émission d'une décision judiciaire absolvant"
"Member of the Assembly of the Republic or equivalent, or upon completion of the","Membre de l'Assemblée de la République ou équivalent, ou à la fin de"
"Sentence; C) In the case of Article 4 (1) (c), upon the cessation of the function that is incompatible with that of Member of the Assembly of the Republic.","En ce qui concerne l'article 4 (1) (c), dès la cessation de la fonction incompatible avec celle de membre de l'Assemblée de la République."
2 – All the powers possessed by the last Member of the Assembly of the Republic from the respective electoral list to have exercised the mandate on the date on which the original,2 - Tous les pouvoirs détenus par le dernier membre de l'Assemblée de la République de la liste électorale respective ayant exercé le mandat à la date à laquelle l'original
Member resumes the exercise of his mandate shall automatically cease on that date.,Le membre reprend l'exercice de son mandat cessera automatiquement à cette date.
