English,German
7/93 of 1 March 1993.,7/93 vom 1. März 1993.
6 Declaration of rectification no.,6 Erklärung der Berichtigung Nr.
9/2001 of 13 March 2001 republished Law no.,9/2001 vom 13. März 2001 neu veröffentlichtes Gesetz Nr.
3/2001 of 23 February,3/2001 vom 23. Februar
2001 in its entirety.,2001 in seiner Gesamtheit.
7 Article 2 of Law no.,7 Artikel 2 des Gesetzes Nr.
44/2006 of 25 August 2006 states that: the present Law shall enter into force on,"der 25. August 2006 verabschiedete 44/2006 besagt, dass: das vorliegende Gesetz in Kraft tritt am"
The first day of the next legislature (i.e. the first day of the 11th legislature).,Der erste Tag der nächsten Legislaturperiode (d. h. der erste Tag der 11. Legislaturperiode).
8 Article 2 of Law no.,8 Artikel 2 des Gesetzes Nr.
45/2006 of 25 August 2006 states that: the present Law shall enter into force on the,"45/2006 vom 25. August 2006 besagt, dass: das vorliegende Gesetz am in Kraft tritt"
First day of the next legislature (i.e. the first day of the 11th legislature).,Erster Tag der nächsten Legislaturperiode (d. h. der erste Tag der 11. Legislaturperiode).
9 Article 5 of Law no.,9 Artikel 5 des Gesetzes Nr.
43/2007 of 24 August 2007 states that: without prejudice to the provisions of,"43/2007 vom 24. August 2007 besagt, dass: unbeschadet der Bestimmungen von"
Article 2 of Law no.,Artikel 2 des Gesetzes Nr.
44/2006 and of Article 2 of Law no.,44/2006 und des Artikels 2 des Gesetzes Nr.
"45/2006, both of 25 August 2006, the present Law","45/2006, beide vom 25. August 2006, das vorliegende Gesetz"
Shall enter into force on the first day of the 3rd Legislative Session of the 10th legislature (15 September,Tritt am ersten Tag der 3. Legislaturperiode der 10. Gesetzgebungsperiode in Kraft (15. September).
2007).,2007.
10 Article 4 of Law no.,10 Artikel 4 des Gesetzes Nr.
44/2019 of 21 June 2019 states that: the present law shall enter into force on the,"44/2019 vom 21. Juni 2019 besagt, dass: das vorliegende Gesetz am in Kraft tritt."
"Day following its publication, taking effect at the beginning of the 14th legislature in parallel with its regulatory resolution.",Am Tag nach seiner Veröffentlichung tritt es in Kraft zu Beginn der 14. Legislaturperiode parallel zu seiner Regulierungsentscheidung.
