English,Hindi
7/93 of 1 March 1993.,1 मार्च 1993 का 7/93।
6 Declaration of rectification no.,6 सुधार की घोषणा।
9/2001 of 13 March 2001 republished Law no.,13 मार्च 2001 की दिनांक 9/2001 पुनः प्रकाशित कानून संख्या।
3/2001 of 23 February,23 फरवरी का 3/2001
2001 in its entirety.,2001 का पूरा.
7 Article 2 of Law no.,7 विधि संख्या 2 का लेख
44/2006 of 25 August 2006 states that: the present Law shall enter into force on,25 अगस्त 2006 को 44/2006 का निर्णय है कि: वर्तमान कानून तब प्रभाव में आएगा।
The first day of the next legislature (i.e. the first day of the 11th legislature).,अगली विधानसभा का पहला दिन (अर्थात 11वीं विधानसभा का पहला दिन)।
8 Article 2 of Law no.,८ कानून संख्या की धारा २।
45/2006 of 25 August 2006 states that: the present Law shall enter into force on the,25 अगस्त 2006 को 45/2006 के अनुसार यह नियम लागू होगा: वर्तमान कानून क्रियान्वित होगा।
First day of the next legislature (i.e. the first day of the 11th legislature).,"अगले विधान सभा का पहला दिन (अर्थात, 11वीं विधान सभा का पहला दिन)।"
9 Article 5 of Law no.,१० कानून संख्या ५ का अनुच्छेद ५।
43/2007 of 24 August 2007 states that: without prejudice to the provisions of,24 अगस्त 2007 की 43/2007 स्थिति कहती है कि: इस प्रावधान के बिना
Article 2 of Law no.,कानून संख्या 2 की धारा
44/2006 and of Article 2 of Law no.,44/2006 और कानून संख्या 2 के अनुच्छेद के अनुसार।
"45/2006, both of 25 August 2006, the present Law","45/2006, दोनों का 25 अगस्त 2006, वर्तमान कानून"
Shall enter into force on the first day of the 3rd Legislative Session of the 10th legislature (15 September,दसवीं विधानसभा की तिसरे सत्र के पहले दिन यह प्रभाव में आएगा (15 सितंबर)।
2007).,2007।
10 Article 4 of Law no.,10 कानून संख्या 4 के अनुसार।
44/2019 of 21 June 2019 states that: the present law shall enter into force on the,21 जून 2019 को 44/2019 का दावा करता है कि: वर्तमान कानून शक्ति में आएगा।
"Day following its publication, taking effect at the beginning of the 14th legislature in parallel with its regulatory resolution.","उसके प्रकाशन के दिन, इसके विधिक संकल्प के साथ 14वीं विधानमंडल की शुरुआत पर प्रभाव डालना।"
"2 Article 1 nature and scope of mandate 1 – Members of the Assembly of the Republic represent the whole country, and not the constituencies for which they are elected.","2 धारा 1 जिम्मेदारी का प्रकृति और विस्तार - गणराज्य सभा के सदस्य पूरे देश का प्रतिनिधित्व करते हैं, और उन निर्वाचित क्षेत्रों का नहीं।"
"2 – Members of the Assembly of the Republic all possess the same status and all enjoy and are subject to the same rights and duties, without prejudice to specific conditions applicable to the","2 - संसद के सभी सदस्यों का समान स्थिति है और सभी को समान अधिकार और कर्तव्य हैं, किसी विशेष परिस्थितियों के लागू होने पर भी किसी अपराध के बिना।"
Exercise and fulfilment thereof and the regime governing the different parliamentary functions,व्यायाम और उसका पूरण तथा विभिन्न संसदीय कार्यों को नियंत्रित करने वाला नियमितीय व्यवस्था।
"They perform, as laid down by law.",वे कानून द्वारा निर्धारित प्रक्रिया का पालन करते हैं।
Article 2 beginning and end of term of office,अध्याधेश 2 कार्यालय की अवधि की शुरुआत और समाप्ति
"1 – The term of office of Members of the Assembly of the Republic begins upon the first sitting of the Assembly following elections thereto and ends upon the first sitting following the subsequent elections thereto, without prejudice to the suspension or termination of any","1 - संसद के सदस्यों की कार्यालय की अवधि चुनाव के बाद संसद की पहली बैठक के बाद शुरू होती है और उसके उपरांत होने वाले चुनावों के बाद संसद की पहली बैठक के बाद समाप्त होती है, किसी भी निलंबन या समाप्ति के बिना।"
Individual term of office.,कार्यकाल की व्यक्तिगत अवधि।
2 – The filling of vacancies which arise in the Assembly of the Republic shall be regulated by electoral law.,2 - जो रिपब्लिक की सभा में उत्पन्न होने वाली रिक्तियों को चुनावी कानून द्वारा नियंत्रित किया जाएगा।
Article 3 verification of credentials,लेख 3 प्रमाणपत्रों का सत्यापन
